# kind	author	title	category
# 評価母集団(kokoro-graph 確定 300 + プール残 + 情緒補強 48)。選定は pipeline/select300.py(F-02)
cand	芥川龍之介	羅生門	芥川
cand	芥川龍之介	鼻	芥川
cand	芥川龍之介	地獄変	芥川
cand	芥川龍之介	藪の中	芥川
cand	芥川龍之介	河童	芥川
cand	芥川龍之介	歯車	芥川
cand	芥川龍之介	或阿呆の一生	芥川
cand	芥川龍之介	奉教人の死	芥川
cand	芥川龍之介	杜子春	芥川
cand	芥川龍之介	蜘蛛の糸	芥川
cand	芥川龍之介	トロッコ	芥川
cand	芥川龍之介	蜜柑	芥川
cand	芥川龍之介	南京の基督	芥川
cand	芥川龍之介	袈裟と盛遠	芥川
cand	芥川龍之介	疑惑	芥川
cand	芥川龍之介	玄鶴山房	芥川
cand	芥川龍之介	点鬼簿	芥川
cand	芥川龍之介	偸盗	芥川
cand	芥川龍之介	枯野抄	芥川
cand	芥川龍之介	戯作三昧	芥川
cand	芥川龍之介	秋	芥川
cand	芥川龍之介	開化の殺人	芥川
cand	芥川龍之介	六の宮の姫君	芥川
cand	芥川龍之介	アグニの神	芥川
cand	芥川龍之介	舞踏会	芥川
cand	芥川龍之介	魔術	芥川
cand	太宰治	人間失格	太宰
cand	太宰治	斜陽	太宰
cand	太宰治	走れメロス	太宰
cand	太宰治	ヴィヨンの妻	太宰
cand	太宰治	駈込み訴え	太宰
cand	太宰治	桜桃	太宰
cand	太宰治	女生徒	太宰
cand	太宰治	トカトントン	太宰
cand	太宰治	魚服記	太宰
cand	太宰治	道化の華	太宰
cand	太宰治	姥捨	太宰
cand	太宰治	富嶽百景	太宰
cand	太宰治	東京八景	太宰
cand	太宰治	津軽	太宰
cand	太宰治	パンドラの匣	太宰
cand	太宰治	グッド・バイ	太宰
cand	太宰治	燈籠	太宰
cand	太宰治	待つ	太宰
cand	太宰治	きりぎりす	太宰
cand	太宰治	皮膚と心	太宰
cand	太宰治	満願	太宰
cand	太宰治	おさん	太宰
cand	太宰治	黄金風景	太宰
cand	太宰治	畜犬談	太宰
cand	夏目漱石	こころ	漱石
cand	夏目漱石	それから	漱石
cand	夏目漱石	門	漱石
cand	夏目漱石	坊っちゃん	漱石
cand	夏目漱石	夢十夜	漱石
cand	夏目漱石	虞美人草	漱石
cand	夏目漱石	三四郎	漱石
cand	夏目漱石	彼岸過迄	漱石
cand	夏目漱石	道草	漱石
cand	森鴎外	舞姫	鴎外
cand	森鴎外	雁	鴎外
cand	森鴎外	高瀬舟	鴎外
cand	森鴎外	山椒大夫	鴎外
cand	森鴎外	阿部一族	鴎外
cand	森鴎外	最後の一句	鴎外
cand	森鴎外	堺事件	鴎外
cand	森鴎外	ヰタ・セクスアリス	鴎外
cand	森鴎外	じいさんばあさん	鴎外
cand	森鴎外	大塩平八郎	鴎外
cand	泉鏡花	高野聖	鏡花
cand	泉鏡花	外科室	鏡花
cand	泉鏡花	夜叉ヶ池	鏡花
cand	泉鏡花	婦系図	鏡花
cand	泉鏡花	歌行灯	鏡花
cand	泉鏡花	天守物語	鏡花
cand	泉鏡花	義血侠血	鏡花
cand	泉鏡花	眉かくしの霊	鏡花
cand	泉鏡花	春昼	鏡花
cand	泉鏡花	化鳥	鏡花
cand	泉鏡花	琵琶伝	鏡花
cand	樋口一葉	たけくらべ	一葉
cand	樋口一葉	にごりえ	一葉
cand	樋口一葉	十三夜	一葉
cand	樋口一葉	大つごもり	一葉
cand	樋口一葉	われから	一葉
cand	樋口一葉	別れ霜	一葉
cand	宮沢賢治	よだかの星	賢治
cand	宮沢賢治	銀河鉄道の夜	賢治
cand	宮沢賢治	注文の多い料理店	賢治
cand	宮沢賢治	グスコーブドリの伝記	賢治
cand	宮沢賢治	風の又三郎	賢治
cand	宮沢賢治	なめとこ山の熊	賢治
cand	宮沢賢治	オツベルと象	賢治
cand	宮沢賢治	セロ弾きのゴーシュ	賢治
cand	宮沢賢治	猫の事務所	賢治
cand	宮沢賢治	フランドン農学校の豚	賢治
cand	宮沢賢治	土神ときつね	賢治
cand	宮沢賢治	貝の火	賢治
cand	宮沢賢治	ひかりの素足	賢治
cand	宮沢賢治	春と修羅	賢治
cand	宮沢賢治	シグナルとシグナレス	賢治
cand	中島敦	山月記	中島敦
cand	中島敦	李陵	中島敦
cand	中島敦	弟子	中島敦
cand	中島敦	悟浄歎異	中島敦
cand	中島敦	光と風と夢	中島敦
cand	有島武郎	カインの末裔	有島
cand	有島武郎	生まれいずる悩み	有島
cand	有島武郎	小さき者へ	有島
cand	有島武郎	クララの出家	有島
